Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
Mohammad Nabi,2018-2024,5,3,1,49,31,24.50,37,132.43,0,0,0,4,2,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
CA Ingram,2011-2019,2,2,0,48,47,24.00,34,141.17,0,0,0,7,1,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
STR Binny,2013-2018,4,3,2,47,37*,47.00,37,127.02,0,0,0,4,1,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
PK Garg,2022-2022,2,2,0,46,42,23.00,33,139.39,0,0,0,4,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
V Shankar,2017-2025,6,4,0,46,29,11.50,39,117.94,0,0,0,6,0,
"(Chennai Super Kings, Delhi Daredevils, Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
IK Pathan,2008-2013,5,4,1,45,23,15.00,47,95.74,0,0,0,4,1,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
KV Sharma,2013-2025,9,5,1,45,19,11.25,36,125.00,0,0,0,4,2,
"(Chennai Super Kings, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SN Khan,2015-2022,6,4,0,44,28,11.00,34,129.41,0,0,0,3,3,
"(Delhi Capitals, Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
PP Chawla,2008-2024,19,8,4,43,12,10.75,55,78.18,0,0,1,2,1,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
SS Tiwary,2011-2015,4,3,2,43,21,43.00,36,119.44,0,0,0,3,1,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CL White,2012-2013,2,2,1,43,43*,43.00,24,179.16,0,0,1,3,3,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JP Faulkner,2013-2016,3,3,0,42,23,14.00,33,127.27,0,0,0,3,3,
"(Gujarat Lions, Rajasthan Royals)",,,,,,,,,,,,,,,
Abishek Porel,2024-2024,1,1,0,41,41,41.00,31,132.25,0,0,0,5,0,
(Delhi Capitals),,,,,,,,,,,,,,,
Harpreet Singh,2023-2023,1,1,0,41,41,41.00,28,146.42,0,0,0,4,2,
(Punjab Kings),,,,,,,,,,,,,,,
SA Asnodkar,2008-2008,1,1,0,39,39,39.00,21,185.71,0,0,0,6,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
MV Boucher,2008-2008,1,1,1,39,39*,-,19,205.26,0,0,0,4,2,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
N Jagadeesan,2022-2023,2,2,1,39,39*,39.00,38,102.63,0,0,1,3,1,
