Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SC Ganguly,2008-2011,2,2,1,123,91,123.00,89,138.20,0,1,0,14,6,
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
YBK Jaiswal,2023-2025,3,3,0,122,67,40.66,82,148.78,0,2,0,16,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
LMP Simmons,2014-2017,4,4,0,120,68,30.00,107,112.14,0,1,0,9,6,
(Mumbai Indians),,,,,,,,,,,,,,,
B Chipli,2011-2011,7,7,3,118,61*,29.50,87,135.63,0,1,0,13,3,
(Deccan Chargers),,,,,,,,,,,,,,,
CA Lynn,2012-2019,3,3,0,112,55,37.33,99,113.13,0,2,0,9,4,
"(Deccan Chargers, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Shakib Al Hasan,2014-2018,9,5,0,109,35,21.80,99,110.10,0,0,0,13,1,
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AR Patel,2014-2023,6,5,2,106,36*,35.33,85,124.70,0,0,0,8,3,
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,,
NLTC Perera,2013-2016,9,6,2,104,30,26.00,73,142.46,0,0,0,5,6,
"(Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
NT Tilak Varma,2023-2025,3,3,1,103,64,51.50,53,194.33,0,1,0,4,10,
(Mumbai Indians),,,,,,,,,,,,,,,
V Shankar,2017-2019,9,8,3,102,35,20.40,70,145.71,0,0,0,4,5,
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
C Green,2023-2024,2,2,2,101,64*,-,60,168.33,0,1,0,11,2,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
DR Smith,2013-2017,4,4,0,97,38,24.25,95,102.10,0,0,0,10,4,
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
SA Yadav,2014-2025,7,5,1,97,40*,24.25,78,124.35,0,0,0,9,4,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
DJ Hussey,2008-2013,3,3,1,95,57*,47.50,69,137.68,0,1,0,6,5,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
RR Pant,2016-2025,5,5,1,95,39*,23.75,80,118.75,0,0,1,6,4,
"(Delhi Capitals, Delhi Daredevils, Lucknow Super Giants)",,,,,,,,,,,,,,,
A Ashish Reddy,2012-2016,15,11,4,93,17,13.28,77,120.77,0,0,0,8,2,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RA Jadeja,2008-2024,8,7,5,93,31*,46.50,82,113.41,0,0,0,9,0,
"(Chennai Super Kings, Gujarat Lions, Rajasthan Royals)",,,,,,,,,,,,,,,
DJ Bravo,2008-2019,6,4,1,88,30,29.33,72,122.22,0,0,0,6,3,
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
C de Grandhomme,2017-2019,3,3,0,88,37,29.33,76,115.78,0,0,0,5,5,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
R Parag,2023-2025,3,3,0,88,77,29.33,57,154.38,0,1,0,10,4,
(Rajasthan Royals),,,,,,,,,,,,,,,
AB de Villiers,2011-2019,7,7,0,86,47,12.28,78,110.25,0,0,2,5,3,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
SO Hetmyer,2019-2025,4,4,1,86,42,28.66,57,150.87,0,0,0,3,7,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KV Sharma,2013-2024,21,10,4,86,39*,14.33,83,103.61,0,0,0,5,2,
"(Chennai Super Kings, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JH Kallis,2008-2013,3,3,0,85,31,28.33,85,100.00,0,0,0,12,0,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Washington Sundar,2017-2025,7,6,2,85,49,21.25,59,144.06,0,0,1,10,2,
"(Gujarat Titans, Rising Pune Supergiant, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MR Marsh,2011-2025,5,3,0,84,52,28.00,49,171.42,0,1,0,12,3,
"(Delhi Capitals, Lucknow Super Giants, Pune Warriors, Rising Pune Supergiants)",,,,,,,,,,,,,,,
DJG Sammy,2013-2014,7,7,4,83,23,27.66,75,110.66,0,0,0,1,6,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
HH Pandya,2015-2025,8,6,0,81,24,13.50,82,98.78,0,0,0,2,4,
(Mumbai Indians),,,,,,,,,,,,,,,
PC Valthaty,2011-2013,2,2,0,81,75,40.50,64,126.56,0,1,0,8,5,
(Kings XI Punjab),,,,,,,,,,,,,,,
N Rana,2017-2025,5,5,0,80,42,16.00,66,121.21,0,0,0,9,3,
"(Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
KD Karthik,2008-2024,9,8,2,78,30,13.00,76,102.63,0,0,2,6,1,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MP Stoinis,2023-2025,3,3,1,77,40,38.50,41,187.80,0,0,0,3,7,
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,,
JC Buttler,2016-2025,6,6,0,76,54,12.66,54,140.74,0,1,2,9,3,
"(Gujarat Titans, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
RK Singh,2019-2023,2,2,0,76,46,38.00,60,126.66,0,0,0,5,3,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
S Sohal,2011-2011,6,5,0,76,38,15.20,66,115.15,0,0,1,9,1,
(Deccan Chargers),,,,,,,,,,,,,,,
GJ Maxwell,2014-2025,7,7,1,75,43,12.50,55,136.36,0,0,0,6,6,
"(Delhi Daredevils, Kings XI Punjab, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KK Nair,2013-2018,4,4,0,75,33,18.75,66,113.63,0,0,0,8,1,
"(Delhi Daredevils, Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AU Verma,2025-2025,5,4,0,73,36,18.25,44,165.90,0,0,0,3,6,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
PJ Cummins,2017-2025,12,5,2,72,31,24.00,31,232.25,0,0,0,4,7,
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
J Botha,2011-2013,3,3,1,71,67*,35.50,58,122.41,0,1,0,8,1,
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,,
DC Jurel,2024-2025,2,2,0,71,70,35.50,38,186.84,0,1,0,5,6,
(Rajasthan Royals),,,,,,,,,,,,,,,
GC Smith,2008-2008,1,1,0,71,71,71.00,45,157.77,0,1,0,9,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
AM Nayar,2008-2013,3,3,1,70,38,35.00,48,145.83,0,0,0,7,2,
"(Kings XI Punjab, Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,,
BB Samantray,2013-2013,3,3,1,70,55,35.00,60,116.66,0,1,0,8,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
HC Brook,2023-2023,6,6,1,69,27*,13.80,79,87.34,0,0,1,8,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
