Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DJ Hooda,2015-2024,6,5,0,89,54,17.80,60,148.33,0,1,1,4,6,
"(Lucknow Super Giants, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DP Conway,2023-2023,1,1,0,87,87,87.00,52,167.30,0,1,0,11,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
JD Ryder,2012-2012,1,1,0,86,86,86.00,58,148.27,0,1,0,7,4,
(Pune Warriors),,,,,,,,,,,,,,,
M Vohra,2013-2017,5,5,0,86,42,17.20,67,128.35,0,0,0,10,3,
(Kings XI Punjab),,,,,,,,,,,,,,,
JM Bairstow,2019-2021,3,3,0,85,48,28.33,54,157.40,0,0,0,14,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SD Hope,2024-2024,4,4,0,85,41,21.25,51,166.66,0,0,0,4,7,
(Delhi Capitals),,,,,,,,,,,,,,,
A Mishra,2008-2019,45,13,8,84,16*,16.80,89,94.38,0,0,0,3,2,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
M Manhas,2008-2014,7,4,1,82,32*,27.33,75,109.33,0,0,0,8,0,
"(Chennai Super Kings, Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,,
SPD Smith,2012-2017,4,3,1,82,38,41.00,54,151.85,0,0,0,10,3,
"(Pune Warriors, Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,,
S Dube,2019-2023,3,3,0,81,35,27.00,56,144.64,0,0,0,2,7,
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
LMP Simmons,2015-2017,2,2,0,81,66,40.50,57,142.10,0,1,0,8,4,
(Mumbai Indians),,,,,,,,,,,,,,,
TM Dilshan,2008-2012,8,8,0,77,17,9.62,68,113.23,0,0,2,11,1,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MM Ali,2018-2023,4,3,0,74,58,24.66,47,157.44,0,1,0,8,5,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
ST Jayasuriya,2008-2010,2,2,0,73,66,36.50,52,140.38,0,1,0,7,5,
(Mumbai Indians),,,,,,,,,,,,,,,
AC Gilchrist,2008-2013,4,4,0,72,42,18.00,54,133.33,0,0,0,14,1,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
CA Ingram,2011-2019,7,7,1,72,19,12.00,68,105.88,0,0,0,7,1,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
H Klaasen,2019-2024,3,3,1,71,53*,35.50,38,186.84,0,1,0,2,6,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
CL White,2010-2013,4,4,1,70,31*,23.33,72,97.22,0,0,0,7,1,
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
TH David,2023-2025,3,3,2,69,37,69.00,33,209.09,0,0,0,5,5,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MF Maharoof,2008-2010,8,5,1,67,28,16.75,44,152.27,0,0,2,6,4,
(Delhi Daredevils),,,,,,,,,,,,,,,
P Negi,2012-2017,8,7,6,67,19*,67.00,45,148.88,0,0,0,7,2,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DJ Bravo,2010-2019,8,7,2,66,22,13.20,58,113.79,0,0,0,6,1,
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
JJ Roy,2018-2023,3,3,0,66,43,22.00,61,108.19,0,0,0,8,2,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
V Nigam,2025-2025,4,3,0,64,38,21.33,33,193.93,0,0,0,6,4,
(Delhi Capitals),,,,,,,,,,,,,,,
N Rana,2017-2025,5,4,0,64,51,16.00,44,145.45,0,1,0,8,2,
"(Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
SP Narine,2012-2025,9,6,2,63,27,15.75,38,165.78,0,0,0,4,5,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Ishan Kishan,2016-2024,5,5,0,62,31,12.40,65,95.38,0,0,0,10,0,
"(Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
MK Lomror,2019-2023,2,2,1,62,54*,62.00,32,193.75,0,1,0,8,3,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
S Sohal,2011-2011,1,1,0,62,62,62.00,41,151.21,0,1,0,8,1,
(Deccan Chargers),,,,,,,,,,,,,,,
N Pooran,2024-2024,1,1,0,61,61,61.00,27,225.92,0,1,0,6,4,
(Lucknow Super Giants),,,,,,,,,,,,,,,
Shubman Gill,2018-2024,4,4,0,61,37,15.25,52,117.30,0,0,0,7,1,
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,,
HV Patel,2012-2023,9,3,2,60,36*,60.00,33,181.81,0,0,0,1,6,
"(Delhi Capitals, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Shahbaz Ahmed,2024-2024,1,1,1,59,59*,-,29,203.44,0,1,0,2,5,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Arshad Khan,2023-2024,2,1,1,58,58*,-,33,175.75,0,1,0,3,5,
"(Lucknow Super Giants, Mumbai Indians)",,,,,,,,,,,,,,,
CR Brathwaite,2016-2016,3,2,0,54,34,27.00,19,284.21,0,0,0,3,6,
(Delhi Daredevils),,,,,,,,,,,,,,,
A Symonds,2010-2010,1,1,0,54,54,54.00,30,180.00,0,1,0,3,5,
(Deccan Chargers),,,,,,,,,,,,,,,
C Munro,2016-2019,4,4,0,52,33,13.00,45,115.55,0,0,1,5,2,
"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Abdul Samad,2021-2024,3,3,0,51,28,17.00,37,137.83,0,0,0,2,4,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
JP Faulkner,2013-2017,5,4,2,51,22*,25.50,38,134.21,0,0,0,6,0,
"(Gujarat Lions, Rajasthan Royals)",,,,,,,,,,,,,,,
MC Juneja,2013-2013,4,4,0,51,20,12.75,63,80.95,0,0,0,2,1,
(Delhi Daredevils),,,,,,,,,,,,,,,
SN Khan,2015-2023,4,3,0,50,30,16.66,52,96.15,0,0,0,5,0,
"(Delhi Capitals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
E Lewis,2018-2018,1,1,0,48,48,48.00,31,154.83,0,0,0,3,4,
(Mumbai Indians),,,,,,,,,,,,,,,
R Bhatia,2008-2016,11,4,1,47,21,15.66,32,146.87,0,0,0,2,3,
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,,
PP Chawla,2008-2024,11,6,1,47,12,9.40,35,134.28,0,0,0,5,2,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
BCJ Cutting,2016-2019,4,4,0,47,37,11.75,32,146.87,0,0,1,3,3,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SC Ganguly,2010-2012,2,2,0,46,41,23.00,45,102.22,0,0,0,6,1,
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
PJ Cummins,2017-2024,7,6,2,44,12*,11.00,30,146.66,0,0,0,2,3,
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SP Fleming,2008-2008,1,1,0,44,44,44.00,28,157.14,0,0,0,7,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
A Raghuvanshi,2025-2025,1,1,0,44,44,44.00,32,137.50,0,0,0,3,2,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
DJM Short,2018-2018,1,1,0,44,44,44.00,25,176.00,0,0,0,2,4,
(Rajasthan Royals),,,,,,,,,,,,,,,
R Tewatia,2018-2024,8,4,1,44,24,14.66,42,104.76,0,0,0,3,1,
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans, Rajasthan Royals)",,,,,,,,,,,,,,,
STR Binny,2013-2019,5,4,0,43,40,10.75,29,148.27,0,0,1,2,3,
(Rajasthan Royals),,,,,,,,,,,,,,,
LA Pomersbach,2008-2013,2,2,1,43,25*,43.00,22,195.45,0,0,0,3,3,
(Kings XI Punjab),,,,,,,,,,,,,,,
RK Singh,2023-2025,2,2,0,42,36,21.00,33,127.27,0,0,0,4,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Bipul Sharma,2016-2016,2,2,2,41,27*,-,17,241.17,0,0,0,0,5,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Mohammad Nabi,2019-2024,3,3,1,41,17*,20.50,18,227.77,0,0,0,3,4,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RD Rickelton,2025-2025,1,1,0,41,41,41.00,25,164.00,0,0,0,5,2,
(Mumbai Indians),,,,,,,,,,,,,,,
SE Rutherford,2019-2019,3,3,2,41,28*,41.00,21,195.23,0,0,0,1,4,
(Delhi Capitals),,,,,,,,,,,,,,,
AR Sharma,2025-2025,4,4,1,41,17,13.66,34,120.58,0,0,0,4,1,
(Delhi Capitals),,,,,,,,,,,,,,,
RR Rossouw,2023-2023,4,4,1,40,35*,13.33,29,137.93,0,0,2,2,3,
(Delhi Capitals),,,,,,,,,,,,,,,
S Vidyut,2008-2008,1,1,0,40,40,40.00,23,173.91,0,0,0,6,1,
(Chennai Super Kings),,,,,,,,,,,,,,,
DL Vettori,2008-2011,5,3,2,39,19*,39.00,40,97.50,0,0,0,3,1,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Naman Dhir,2025-2025,1,1,1,38,38*,-,17,223.52,0,0,0,3,2,
(Mumbai Indians),,,,,,,,,,,,,,,
S Badrinath,2008-2013,5,3,1,37,15,18.50,36,102.77,0,0,0,5,1,
(Chennai Super Kings),,,,,,,,,,,,,,,
K Nitish Kumar Reddy,2024-2024,1,1,0,37,37,37.00,27,137.03,0,0,0,2,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
MP Stoinis,2019-2024,2,2,1,37,32*,37.00,31,119.35,0,0,0,2,2,
"(Lucknow Super Giants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DT Christian,2011-2018,4,4,0,36,19,9.00,46,78.26,0,0,0,1,0,
"(Deccan Chargers, Delhi Daredevils, Rising Pune Supergiant)",,,,,,,,,,,,,,,
M Morkel,2011-2016,18,9,4,36,19,7.20,26,138.46,0,0,3,4,1,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
TR Birt,2011-2011,2,2,0,35,27,17.50,26,134.61,0,0,0,5,0,
(Delhi Daredevils),,,,,,,,,,,,,,,
Gurkeerat Singh,2012-2019,2,2,0,35,27,17.50,24,145.83,0,0,0,4,1,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Kuldeep Yadav,2016-2025,20,10,6,35,10*,8.75,36,97.22,0,0,3,3,0,
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,,
BA Stokes,2017-2018,2,2,0,34,33,17.00,27,125.92,0,0,0,3,2,
"(Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,,
Mohammed Shami,2014-2023,16,7,4,33,21,11.00,24,137.50,0,0,0,3,2,
"(Delhi Daredevils, Gujarat Titans, Kings XI Punjab)",,,,,,,,,,,,,,,
Shahid Afridi,2008-2008,1,1,0,33,33,33.00,14,235.71,0,0,0,3,2,
(Deccan Chargers),,,,,,,,,,,,,,,
R Ashwin,2010-2024,9,4,0,32,16,8.00,29,110.34,0,0,0,3,0,
"(Chennai Super Kings, Kings XI Punjab, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,,
JA Morkel,2008-2013,5,3,1,32,30,16.00,21,152.38,0,0,1,2,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
