Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
R Bhatia,2011-2013,3,2,0,20,12,10.00,15,133.33,0,0,0,3,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
S Gopal,2018-2019,11,3,2,20,19*,20.00,9,222.22,0,0,1,2,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
Bipul Sharma,2010-2012,2,2,1,19,18,19.00,14,135.71,0,0,0,2,0,
(Kings XI Punjab),,,,,,,,,,,,,,,
HH Gibbs,2008-2008,1,1,0,19,19,19.00,20,95.00,0,0,0,2,0,
(Deccan Chargers),,,,,,,,,,,,,,,
A Mukund,2013-2013,1,1,0,19,19,19.00,21,90.47,0,0,0,1,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
JD Ryder,2011-2012,2,2,0,19,18,9.50,14,135.71,0,0,0,3,0,
(Pune Warriors),,,,,,,,,,,,,,,
R Sathish,2010-2013,3,3,1,19,11,9.50,20,95.00,0,0,0,2,0,
"(Kings XI Punjab, Mumbai Indians)",,,,,,,,,,,,,,,
M Shahrukh Khan,2024-2025,2,2,1,19,14,19.00,10,190.00,0,0,0,2,1,
(Gujarat Titans),,,,,,,,,,,,,,,
S Anirudha,2012-2012,1,1,1,18,18*,-,6,300.00,0,0,0,1,2,
(Chennai Super Kings),,,,,,,,,,,,,,,
DW Steyn,2010-2013,3,1,1,18,18*,-,8,225.00,0,0,0,2,1,
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SK Warne,2008-2011,17,3,0,18,11,6.00,22,81.81,0,0,1,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
DS Lehmann,2008-2008,1,1,0,17,17,17.00,16,106.25,0,0,0,3,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
CH Morris,2013-2019,3,1,1,17,17*,-,7,242.85,0,0,0,2,1,
"(Chennai Super Kings, Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
A Symonds,2011-2011,1,1,0,17,17,17.00,26,65.38,0,0,0,1,0,
(Mumbai Indians),,,,,,,,,,,,,,,
JP Faulkner,2012-2013,8,4,3,16,11*,16.00,14,114.28,0,0,0,0,0,
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
JR Hopes,2008-2008,1,1,0,16,16,16.00,16,100.00,0,0,0,2,0,
(Kings XI Punjab),,,,,,,,,,,,,,,
KH Pandya,2018-2025,5,4,3,16,7,16.00,15,106.66,0,0,0,2,0,
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
S Badrinath,2008-2013,3,1,0,15,15,15.00,14,107.14,0,0,0,3,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
TA Boult,2018-2024,8,1,0,15,15,15.00,11,136.36,0,0,0,1,1,
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,,
DJ Jacobs,2011-2011,1,1,0,15,15,15.00,15,100.00,0,0,0,0,1,
(Mumbai Indians),,,,,,,,,,,,,,,
Shakib Al Hasan,2011-2019,3,2,0,15,9,7.50,16,93.75,0,0,0,1,0,
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
A Ashish Reddy,2013-2013,1,1,0,14,14,14.00,11,127.27,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Mohammed Siraj,2018-2025,5,1,0,14,14,14.00,12,116.66,0,0,0,2,0,
"(Gujarat Titans, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
