Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
(Mumbai Indians),,,,,,,,,,,,,,,
BB McCullum,2015-2015,1,1,0,12,12,12.00,7,171.42,0,0,0,3,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
TA Boult,2022-2025,5,2,1,11,11,11.00,8,137.50,0,0,0,0,1,
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
MC Henriques,2014-2021,2,2,0,11,9,5.50,16,68.75,0,0,0,1,0,
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
M Manhas,2010-2010,1,1,1,11,11*,-,10,110.00,0,0,0,1,0,
(Delhi Daredevils),,,,,,,,,,,,,,,
Swapnil Singh,2023-2024,3,2,2,11,9*,-,8,137.50,0,0,0,0,1,
"(Lucknow Super Giants, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
PK Garg,2023-2023,1,1,0,10,10,10.00,14,71.42,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,,
VVS Laxman,2010-2010,1,1,0,10,10,10.00,12,83.33,0,0,0,1,0,
(Deccan Chargers),,,,,,,,,,,,,,,
R Sharma,2010-2010,1,1,0,10,10,10.00,5,200.00,0,0,0,0,1,
(Deccan Chargers),,,,,,,,,,,,,,,
K Nitish Kumar Reddy,2024-2024,1,1,0,9,9,9.00,10,90.00,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
MD Shanaka,2023-2023,1,1,1,9,9*,-,7,128.57,0,0,0,1,0,
(Gujarat Titans),,,,,,,,,,,,,,,
DW Steyn,2014-2014,1,1,0,9,9,9.00,8,112.50,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
TL Suman,2010-2010,1,1,0,9,9,9.00,15,60.00,0,0,0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,,
Sumit Kumar,2024-2024,1,1,1,9,9*,-,9,100.00,0,0,0,2,0,
(Delhi Capitals),,,,,,,,,,,,,,,
BCJ Cutting,2014-2014,1,1,0,8,8,8.00,6,133.33,0,0,0,0,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
JP Duminy,2014-2014,1,1,0,8,8,8.00,8,100.00,0,0,0,0,1,
(Delhi Daredevils),,,,,,,,,,,,,,,
DS Kulkarni,2014-2015,5,2,1,8,7*,8.00,8,100.00,0,0,0,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
OC McCoy,2022-2022,2,1,0,8,8,8.00,5,160.00,0,0,0,0,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
RR Rossouw,2023-2023,1,1,0,8,8,8.00,6,133.33,0,0,0,2,0,
(Delhi Capitals),,,,,,,,,,,,,,,
WPUJC Vaas,2010-2010,1,1,0,8,8,8.00,13,61.53,0,0,0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,,
MS Wade,2022-2024,2,1,0,8,8,8.00,10,80.00,0,0,0,0,1,
