Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
SR Tendulkar,2011-2013,3,3,0,42,38,14.00,35,120.00,0,0,0,6,0,
(Mumbai Indians),,,,,,,,,,,,,,,
Y Venugopal Rao,2008-2014,4,3,1,41,27,20.50,40,102.50,0,0,0,5,0,
"(Deccan Chargers, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DH Yagnik,2013-2013,2,2,1,41,31*,41.00,23,178.26,0,0,0,7,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
R Dhawan,2013-2023,4,4,1,40,19,13.33,31,129.03,0,0,0,2,2,
"(Kings XI Punjab, Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
BCJ Cutting,2017-2018,2,2,0,39,24,19.50,19,205.26,0,0,0,2,4,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
D Padikkal,2022-2025,2,2,0,38,28,19.00,30,126.66,0,0,0,3,2,
"(Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
AR Patel,2014-2024,6,4,0,38,21,9.50,31,122.58,0,0,1,3,2,
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,,
Umar Gul,2008-2008,3,3,1,37,24,18.50,17,217.64,0,0,0,1,5,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
R Bhatia,2010-2013,21,8,3,36,11,7.20,40,90.00,0,0,0,3,0,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
DJG Sammy,2014-2015,2,2,0,36,29,18.00,28,128.57,0,0,0,1,3,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
BA Stokes,2017-2019,3,3,0,36,14,12.00,38,94.73,0,0,0,3,0,
"(Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,,
RD Gaikwad,2023-2023,1,1,0,35,35,35.00,20,175.00,0,0,0,2,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
E Lewis,2018-2022,3,3,1,35,18,17.50,35,100.00,0,0,0,4,1,
"(Lucknow Super Giants, Mumbai Indians)",,,,,,,,,,,,,,,
MS Wade,2022-2022,1,1,0,35,35,35.00,30,116.66,0,0,0,6,0,
(Gujarat Titans),,,,,,,,,,,,,,,
DT Christian,2011-2017,2,2,1,34,25,34.00,23,147.82,0,0,0,1,3,
"(Deccan Chargers, Rising Pune Supergiant)",,,,,,,,,,,,,,,
M Kaif,2008-2008,1,1,1,34,34*,-,31,109.67,0,0,0,4,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
Rashid Khan,2017-2025,7,1,1,34,34*,-,10,340.00,0,0,0,2,4,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JC Archer,2018-2019,3,2,1,33,27*,33.00,17,194.11,0,0,0,3,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
SP Goswami,2010-2012,4,3,0,33,24,11.00,35,94.28,0,0,0,3,1,
"(Kolkata Knight Riders, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
R Ashwin,2010-2024,13,6,2,32,11,8.00,51,62.74,0,0,0,3,0,
"(Chennai Super Kings, Kings XI Punjab, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,,
SP Fleming,2008-2008,1,1,1,32,32*,-,20,160.00,0,0,0,6,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
B Kumar,2012-2024,10,4,3,32,11*,32.00,17,188.23,0,0,0,5,1,
"(Pune Warriors, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
