Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
NLTC Perera,2010-2016,37,36,116.2,0,1016,31,Mar-20,32.77,8.73,22.5,0,0,
,,,,,,,,,,,,,,
Adam Zampa,2016-2025,22,22,77.5,0,652,31,Jun-19,21.03,8.37,15,0,1,
,,,,,,,,,,,,,,
Marco Jansen,2021-2025,31,31,107.1,1,1002,30,Mar-17,33.4,9.34,21.4,0,0,
,,,,,,,,,,,,,,
CJ Jordan,2016-2023,34,34,111.2,1,1070,30,04-Nov,35.66,9.61,22.2,1,0,
,,,,,,,,,,,,,,
Shivam Mavi,2018-2022,32,32,108.1,2,942,30,Apr-21,31.4,8.7,21.6,1,0,
,,,,,,,,,,,,,,
CR Woakes,2017-2021,21,21,73.2,0,658,30,03-Jun,21.93,8.97,14.6,0,0,
,,,,,,,,,,,,,,
AB Agarkar,2008-2013,42,42,130.2,0,1151,29,Mar-25,39.68,8.83,26.9,0,0,
,,,,,,,,,,,,,,
Azhar Mahmood,2012-2015,23,23,89.3,0,700,29,Mar-20,24.13,7.82,18.5,0,0,
,,,,,,,,,,,,,,
Harpreet Brar,2019-2025,45,42,121.1,1,968,29,Apr-30,33.37,7.98,25,1,0,
,,,,,,,,,,,,,,
Umran Malik,2021-2024,26,26,82.1,1,772,29,May-25,26.62,9.39,17,1,1,
,,,,,,,,,,,,,,
DP Nannes,2009-2013,29,29,107.3,1,785,28,Mar-27,28.03,7.3,23,0,0,
,,,,,,,,,,,,,,
Ars Singh,2009-2012,23,23,78.5,1,620,28,Apr-19,22.14,7.86,16.8,1,0,
,,,,,,,,,,,,,,
Ben Stokes,2017-2023,45,38,114.5,2,992,28,Mar-15,35.42,8.63,24.6,0,0,
,,,,,,,,,,,,,,
PV Tambe,2013-2016,33,33,110,0,853,28,Apr-20,30.46,7.75,23.5,1,0,
,,,,,,,,,,,,,,
DL Vettori,2008-2012,34,34,129.3,0,879,28,Mar-15,31.39,6.78,27.7,0,0,
,,,,,,,,,,,,,,
MF Maharoof,2008-2010,20,20,70,0,520,27,Mar-34,19.25,7.42,15.5,0,0,
,,,,,,,,,,,,,,
AD Mathews,2009-2017,49,44,131.5,0,1079,27,Apr-19,39.96,8.18,29.2,1,0,
,,,,,,,,,,,,,,
Mohsin Khan,2022-2024,23,23,81,2,689,27,Apr-16,25.51,8.5,18,1,0,
,,,,,,,,,,,,,,
Harmeet Singh,2009-2013,27,27,87.3,0,697,26,Mar-24,26.8,7.96,20.1,0,0,
,,,,,,,,,,,,,,
DR Smith,2008-2017,91,46,89.5,0,810,26,04-Aug,31.15,9.01,20.7,1,0,
,,,,,,,,,,,,,,
