Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
S Gopal,2014-2024,52,51,165.1,1,1349,52,4/16,25.94,8.16,19.0,1,0,
"(Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
LH Ferguson,2017-2025,49,49,170.3,1,1530,51,4/28,30.00,8.97,20.0,1,0,
"(Gujarat Titans, Kolkata Knight Riders, Punjab Kings, Rising Pune Supergiant, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
NM Coulter-Nile,2013-2022,39,38,142.5,1,1100,48,4/14,22.91,7.70,17.8,2,0,
"(Delhi Daredevils, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
TU Deshpande,2020-2025,44,44,152.5,0,1513,48,4/27,31.52,9.89,19.1,1,0,
"(Chennai Super Kings, Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,
S Nadeem,2011-2021,72,70,235.5,2,1784,48,3/16,37.16,7.56,29.4,0,0,
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SB Jakati,2009-2017,59,57,180.5,1,1451,47,4/22,30.87,8.02,23.0,2,0,
"(Chennai Super Kings, Gujarat Lions, Royal Challengers Bangalore)",,,,,,,,,,,,,,
TG Southee,2011-2023,54,54,201.0,2,1742,47,3/20,37.06,8.66,25.6,0,0,
"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
S Aravind,2011-2017,38,38,126.4,0,1039,45,4/14,23.08,8.20,16.8,2,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
RJ Harris,2009-2013,37,37,138.4,3,1047,45,4/34,23.26,7.55,18.4,1,0,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,
PW Hasaranga,2021-2025,34,34,122.0,1,1024,45,5/18,22.75,8.39,16.2,2,1,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
A Kumble,2008-2010,42,42,160.5,1,1058,45,5/5,23.51,6.57,21.4,2,1,
