Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
Aman Hakim Khan,2023-2023,1,1,0,51,51,51,44,115.9,0,1,0,3,3,Narendra Modi Stadium
Deepak Hooda,2015-2023,8,7,0,51,19,7.28,41,124.39,0,0,0,1,4,Narendra Modi Stadium
CJ Anderson,2015-2015,1,1,0,50,50,50,38,131.57,0,1,0,5,3,Narendra Modi Stadium
Glen Maxwell,2015-2025,7,6,0,50,25,8.33,42,119.04,0,0,3,2,4,Narendra Modi Stadium
Abdul Samad,2023-2024,3,3,0,49,29,16.33,29,168.96,0,0,0,4,3,Narendra Modi Stadium
DP Conway,2023-2023,2,2,0,48,47,24,31,154.83,0,0,0,4,2,Narendra Modi Stadium
KR Mayers,2023-2023,1,1,0,48,48,48,32,150,0,0,0,7,2,Narendra Modi Stadium
Rinku Singh,2023-2024,2,1,1,48,48*,-,21,228.57,0,0,0,1,6,Narendra Modi Stadium
Priyansh Arya,2025-2025,1,1,0,47,47,47,23,204.34,0,0,0,7,2,Narendra Modi Stadium
EJG Morgan,2021-2021,2,2,1,47,47*,47,42,111.9,0,0,1,4,2,Narendra Modi Stadium
Dewald Brevis,2024-2024,1,1,0,46,46,46,38,121.05,0,0,0,2,3,Narendra Modi Stadium
Nehal Wadhera,2023-2023,2,2,0,44,40,22,24,183.33,0,0,0,4,3,Narendra Modi Stadium
Pat Cummins,2021-2024,4,3,2,43,30,43,39,110.25,0,0,0,3,2,Narendra Modi Stadium
Shahbaz Ahmed,2021-2024,4,4,1,42,22,14,40,105,0,0,1,3,2,Narendra Modi Stadium
Manipal Lomror,2022-2024,2,2,0,40,32,20,27,148.14,0,0,0,2,2,Narendra Modi Stadium
DR Smith,2015-2015,1,1,0,40,40,40,29,137.93,0,0,0,3,2,Narendra Modi Stadium
Naman Dhir,2024-2025,2,2,1,38,20,38,21,180.95,0,0,0,6,1,Narendra Modi Stadium
Rahmanullah Gurbaz,2023-2024,2,2,0,38,23,19,26,146.15,0,0,0,3,3,Narendra Modi Stadium
Abhishek Sharma,2023-2024,3,3,0,37,29,12.33,29,127.58,0,0,0,3,2,Narendra Modi Stadium
KK Cooper,2014-2014,2,2,0,37,32,18.5,24,154.16,0,0,0,2,3,Narendra Modi Stadium
P Dogra,2010-2010,4,3,0,34,29,11.33,30,113.33,0,0,1,2,2,Narendra Modi Stadium
Ravindra Jadeja,2015-2024,4,3,1,34,18,17,18,188.88,0,0,0,3,2,Narendra Modi Stadium
CJ Jordan,2021-2023,4,3,0,34,30,11.33,26,130.76,0,0,0,1,3,Narendra Modi Stadium
Abishek Porel,2024-2025,2,2,0,33,18,16.5,16,206.25,0,0,0,5,2,Narendra Modi Stadium
Azmatullah Omarzai,2024-2025,5,2,0,33,17,16.5,26,126.92,0,0,0,3,2,Narendra Modi Stadium
SC Ganguly,2010-2010,1,1,0,33,33,33,29,113.79,0,0,0,3,0,Narendra Modi Stadium
Harshal Patel,2015-2024,5,2,0,32,31,16,15,213.33,0,0,0,3,2,Narendra Modi Stadium
Druv Jurel,2023-2025,3,3,0,31,18,10.33,22,140.9,0,0,0,4,1,Narendra Modi Stadium
Ambati Rayudu,2014-2023,3,2,0,31,19,15.5,20,155,0,0,0,1,3,Narendra Modi Stadium
Tristan Stubbs,2024-2025,2,1,0,31,31,31,21,147.61,0,0,0,2,1,Narendra Modi Stadium
Harpreet Brar,2021-2024,3,3,3,30,25*,-,21,142.85,0,0,0,2,2,Narendra Modi Stadium
CA Pujara,2010-2010,1,1,0,29,29,29,25,116,0,0,0,4,0,Narendra Modi Stadium
JA Morkel,2010-2010,1,1,0,28,28,28,12,233.33,0,0,0,1,3,Narendra Modi Stadium
Bhuvaneshwar Kumar,2014-2024,4,3,1,27,27,13.5,31,87.09,0,0,1,3,0,Narendra Modi Stadium
Aiden Markram,2023-2024,2,2,0,27,17,13.5,29,93.1,0,0,0,1,0,Narendra Modi Stadium
DJ Malan,2021-2021,1,1,0,26,26,26,26,100,0,0,0,1,1,Narendra Modi Stadium
Kane Williamson,2023-2024,2,1,0,26,26,26,22,118.18,0,0,0,4,0,Narendra Modi Stadium
S Badrinath,2010-2010,1,1,0,25,25,25,27,92.59,0,0,0,2,0,Narendra Modi Stadium
HH Gibbs,2010-2010,1,1,0,25,25,25,14,178.57,0,0,0,2,2,Narendra Modi Stadium
RV Patel,2023-2023,1,1,0,23,23,23,13,176.92,0,0,0,2,1,Narendra Modi Stadium
JM Bairstow,2024-2024,1,1,0,22,22,22,13,169.23,0,0,0,4,0,Narendra Modi Stadium
Nicholas Pooran,2021-2023,3,3,0,22,19,7.33,28,78.57,0,0,1,1,1,Narendra Modi Stadium
A Symonds,2010-2010,1,1,0,22,22,22,14,157.14,0,0,0,3,0,Narendra Modi Stadium
Ayush Badoni,2023-2023,1,1,0,21,21,21,11,190.9,0,0,0,1,2,Narendra Modi Stadium
Sunil Narine,2014-2024,5,4,0,21,21,5.25,22,95.45,0,0,3,4,0,Narendra Modi Stadium
IK Pathan,2014-2014,1,1,1,21,21*,-,21,100,0,0,0,2,0,Narendra Modi Stadium
Shakib Al Hasan,2014-2014,1,1,1,21,21*,-,14,150,0,0,0,1,1,Narendra Modi Stadium
Jack Fraser-McGurk,2024-2024,1,1,0,20,20,20,10,200,0,0,0,2,2,Narendra Modi Stadium
T Kohler-Cadmore,2024-2024,1,1,0,20,20,20,15,133.33,0,0,0,4,0,Narendra Modi Stadium
AJ Finch,2014-2015,2,2,1,19,10*,19,24,79.16,0,0,0,3,0,Narendra Modi Stadium
ML Hayden,2010-2010,1,1,0,19,19,19,14,135.71,0,0,0,1,1,Narendra Modi Stadium
Travis Head,2024-2024,2,2,0,19,19,9.5,16,118.75,0,0,1,3,0,Narendra Modi Stadium
SD Hope,2024-2024,1,1,0,19,19,19,10,190,0,0,0,1,2,Narendra Modi Stadium
Mitchell Santner,2023-2025,3,3,2,19,18*,19,14,135.71,0,0,1,1,2,Narendra Modi Stadium
OA Shah,2010-2010,1,1,1,19,19*,-,17,111.76,0,0,0,0,2,Narendra Modi Stadium
PP Chawla,2023-2024,3,3,0,18,18,6,15,120,0,0,2,1,1,Narendra Modi Stadium
M Markande,2023-2024,2,1,1,18,18*,-,9,200,0,0,0,2,1,Narendra Modi Stadium
