Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
CA Ingram,2019-2019,1,1,1,3,3*,-,5,60,0,0,0,0,0,Sawai Mansingh Stadium
Marco Jansen,2023-2023,1,1,1,3,3*,-,2,150,0,0,0,0,0,Sawai Mansingh Stadium
Karun Nair,2018-2018,1,1,0,3,3,3,5,60,0,0,0,0,0,Sawai Mansingh Stadium
R Rampaul,2013-2013,1,1,0,3,3,3,4,75,0,0,0,0,0,Sawai Mansingh Stadium
RP Singh,2008-2013,4,2,0,3,2,1.5,4,75,0,0,0,0,0,Sawai Mansingh Stadium
Sohail Tanvir,2008-2008,5,1,1,3,3*,-,3,100,0,0,0,0,0,Sawai Mansingh Stadium
AJ Turner,2019-2019,3,3,1,3,3*,1.5,9,33.33,0,0,2,0,0,Sawai Mansingh Stadium
M Vohra,2013-2013,1,1,0,3,3,3,6,50,0,0,0,0,0,Sawai Mansingh Stadium
Jasprit Bumrah,2018-2024,3,1,1,2,2*,-,1,200,0,0,0,0,0,Sawai Mansingh Stadium
UBT Chand,2011-2011,1,1,0,2,2,2,10,20,0,0,0,0,0,Sawai Mansingh Stadium
C de Grandhomme,2018-2018,1,1,0,2,2,2,3,66.66,0,0,0,0,0,Sawai Mansingh Stadium
CM Gautam,2013-2013,1,1,0,2,2,2,3,66.66,0,0,0,0,0,Sawai Mansingh Stadium
RJ Harris,2013-2013,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,Sawai Mansingh Stadium
BB McCullum,2012-2012,1,1,0,2,2,2,4,50,0,0,0,0,0,Sawai Mansingh Stadium
AG Murtaza,2011-2011,1,1,1,2,2*,-,5,40,0,0,0,0,0,Sawai Mansingh Stadium
PP Ojha,2008-2013,2,2,2,2,1*,-,3,66.66,0,0,0,0,0,Sawai Mansingh Stadium
PA Reddy,2013-2013,1,1,0,2,2,2,5,40,0,0,0,0,0,Sawai Mansingh Stadium
Sandeep Sharma,2018-2025,12,2,2,2,2*,-,6,33.33,0,0,0,0,0,Sawai Mansingh Stadium
Umar Gul,2008-2008,1,1,0,2,2,2,2,100,0,0,0,0,0,Sawai Mansingh Stadium
RE van der Merwe,2011-2011,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,Sawai Mansingh Stadium
AB Dinda,2008-2011,2,1,0,1,1,1,3,33.33,0,0,0,0,0,Sawai Mansingh Stadium
MS Gony,2008-2008,1,1,1,1,1*,-,4,25,0,0,0,0,0,Sawai Mansingh Stadium
Harmeet Singh,2012-2012,1,1,1,1,1*,-,1,100,0,0,0,0,0,Sawai Mansingh Stadium
Iqbal Abdulla,2011-2012,2,1,1,1,1*,-,2,50,0,0,0,0,0,Sawai Mansingh Stadium
Z Khan,2008-2012,4,1,0,1,1,1,5,20,0,0,0,0,0,Sawai Mansingh Stadium
A Manohar,2023-2024,2,1,0,1,1,1,2,50,0,0,0,0,0,Sawai Mansingh Stadium
WA Mota,2008-2008,1,1,1,1,1*,-,1,100,0,0,0,0,0,Sawai Mansingh Stadium
RR Raje,2008-2008,1,1,1,1,1*,-,2,50,0,0,0,0,0,Sawai Mansingh Stadium
Shahid Afridi,2008-2008,1,1,0,1,1,1,3,33.33,0,0,0,0,0,Sawai Mansingh Stadium
Ishant Sharma,2008-2025,4,2,2,1,1*,-,1,100,0,0,0,0,0,Sawai Mansingh Stadium
A Singh,2011-2012,10,1,0,1,1,1,2,50,0,0,0,0,0,Sawai Mansingh Stadium
S Sreesanth,2008-2013,5,1,1,1,1*,-,2,50,0,0,0,0,0,Sawai Mansingh Stadium
AJ Tye,2018-2018,1,1,1,1,1*,-,1,100,0,0,0,0,0,Sawai Mansingh Stadium
Jaydev Unadkat,2013-2019,13,4,2,1,1,0.5,3,33.33,0,0,1,0,0,Sawai Mansingh Stadium
Yudhvir Singh,2023-2025,2,1,0,1,1,1,1,100,0,0,0,0,0,Sawai Mansingh Stadium
Abdur Razzak,2008-2008,1,1,1,0,0*,-,2,0,0,0,0,0,0,Sawai Mansingh Stadium
J Arunkumar,2008-2008,1,1,0,0,0,0,3,0,0,0,1,0,0,Sawai Mansingh Stadium
KM Asif,2023-2023,1,1,0,0,0,0,2,0,0,0,1,0,0,Sawai Mansingh Stadium
P Awana,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
Basil Thampi,2018-2018,1,1,1,0,0*,-,0,-,0,0,0,0,0,Sawai Mansingh Stadium
RK Bhui,2024-2024,1,1,0,0,0,0,2,0,0,0,1,0,0,Sawai Mansingh Stadium
Yezvendra Chahal,2018-2024,12,1,1,0,0*,-,4,0,0,0,0,0,0,Sawai Mansingh Stadium
G Coetzee,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
R Dhawan,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
SP Fleming,2008-2008,1,1,0,0,0,0,2,0,0,0,1,0,0,Sawai Mansingh Stadium
RV Gomez,2011-2011,1,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
Joginder Sharma,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
S Kaul,2013-2019,3,1,1,0,0*,-,0,-,0,0,0,0,0,Sawai Mansingh Stadium
E Lewis,2018-2018,1,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
MJ McClenaghan,2018-2018,1,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
VY Mahesh,2008-2012,2,1,1,0,0*,-,1,0,0,0,0,0,0,Sawai Mansingh Stadium
M Markande,2018-2023,3,1,1,0,0*,-,1,0,0,0,0,0,0,Sawai Mansingh Stadium
Misbah-ul-Haq,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
C Munro,2018-2018,1,1,0,0,0,0,0,-,0,0,1,0,0,Sawai Mansingh Stadium
Noor Ahmad,2023-2024,2,1,1,0,0*,-,0,-,0,0,0,0,0,Sawai Mansingh Stadium
SM Pollock,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
R Sharma,2011-2013,3,2,0,0,0,0,4,0,0,0,2,0,0,Sawai Mansingh Stadium
SK Trivedi,2008-2013,32,1,1,0,0*,-,0,-,0,0,0,0,0,Sawai Mansingh Stadium
UT Yadav,2012-2024,5,1,0,0,0,0,1,0,0,0,1,0,0,Sawai Mansingh Stadium
VR Aaron,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
KK Ahmed,2019-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Akash Singh,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Anand Rajan,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Ankit Sharma,2012-2018,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Anureet Singh,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
KP Appanna,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
S Aravind,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
KB Arun Karthik,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
M Ashwin,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Avesh Khan,2023-2025,7,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
L Balaji,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
UA Birla,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
DE Bollinger,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
N Burger,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
DL Chahar,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
RD Chahar,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
A Chandila,2012-2013,8,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
B Chipli,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
SM Curran,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
TK Curran,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
MJ Dagar,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
TU Deshpande,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
ND Doshi,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
CRD Fernando,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
JEC Franklin,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
HF Gurney,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
PW Hasaranga,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
JR Hazlewood,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
BW Hilfenhaus,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
JO Holder,2013-2023,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Imran Tahir,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
SB Jakati,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
SH Johnson,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Kamran Khan,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Karim Janat,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
K Kartikeya,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
AA Kazi,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Kuldeep Yadav,2018-2024,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
CK Langeveldt,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
B Laughlin,2018-2018,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
JB Little,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
OC McCoy,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
GD McGrath,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
KA Maharaj,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
VS Malik,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
S Midhun,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
T Mishra,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Mohsin Khan,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
M Morkel,2011-2013,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Mujeeb Ur Rahman,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Mukesh Kumar,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Mustafizur Rahman,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
S Nadeem,2011-2018,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
T Natarajan,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Naveen-ul-Haq,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
P Negi,2012-2013,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
A Nortje,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Pankaj Singh,2008-2012,8,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
WD Parnell,2013-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
HV Patel,2012-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
MM Patel,2008-2011,7,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
M Pathirana,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
RM Patidar,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
RR Powar,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
R Powell,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
M Prasidh Krishna,2019-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Prince Yadav,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
K Rabada,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
AS Rajpoot,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
DS Rathi,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Ravi Bishnoi,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
AD Russell,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Sachin Baby,2013-2013,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Shahbaz Ahmed,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
NA Saini,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
R Sai Kishore,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
D Salunkhe,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
PJ Sangwan,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
KR Sen,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
H Sharma,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
JM Sharma,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
MM Sharma,2013-2024,4,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Shivam Mavi,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
R Shukla,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
IS Sodhi,2018-2018,4,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Sumit Kumar,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Suyash Sharma,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
SW Tait,2011-2013,6,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
PV Tambe,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
JE Taylor,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
SN Thakur,2018-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Yash Thakur,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
M Theekshana,2023-2025,4,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
J Theron,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
AC Thomas,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
O Thomas,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
N Thushara,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
RJW Topley,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
K Upadhyay,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
DL Vettori,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
DP Vijaykumar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Vivrant Sharma,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
DJ Willey,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
K Yadav,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
Yash Dayal,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,Sawai Mansingh Stadium
,,,,,,,,,,,,,,,
Rohit Sharma,2011-2025,85,84,13,2439,105*,34.35,1765,138.18,1,17,5,224,110,Wankhede Stadium
Suryakumar Yadav,2012-2025,37,37,6,1286,103*,41.48,776,165.72,2,10,5,147,57,Wankhede Stadium
Kiren  Pollard,2011-2022,60,57,15,1226,83,29.19,787,155.78,0,7,2,78,85,Wankhede Stadium
Ambati Rayudu,2011-2023,55,52,7,1008,78,22.4,784,128.57,0,6,7,91,43,Wankhede Stadium
Dinesh Karthik,2008-2024,32,31,8,855,86,37.17,602,142.02,0,3,1,92,30,Wankhede Stadium
Hardik Pandya,2015-2025,47,42,14,768,62*,27.42,511,150.29,0,2,1,67,41,Wankhede Stadium
Jos Buttler,2016-2024,24,24,2,759,116,34.5,526,144.29,1,3,1,74,41,Wankhede Stadium
Sachin Tendulkar,2008-2013,23,23,2,726,100*,34.57,604,120.19,1,3,1,94,10,Wankhede Stadium
Faf du Plessis,2012-2024,19,19,4,701,95*,46.73,523,134.03,0,6,2,66,25,Wankhede Stadium
Ishan Kishan,2017-2025,31,29,0,659,69,22.72,453,145.47,0,2,2,66,34,Wankhede Stadium
Virat Kohli,2008-2025,19,19,5,641,92*,45.78,464,138.14,0,6,1,52,25,Wankhede Stadium
KL Rahul,2015-2024,12,12,2,634,103*,63.4,429,147.78,2,5,2,52,31,Wankhede Stadium
S Dhawan,2008-2022,17,17,2,625,92,41.66,479,130.48,0,4,1,68,16,Wankhede Stadium
Suresh Raina,2008-2021,21,20,3,577,87,33.94,388,148.71,0,4,1,51,33,Wankhede Stadium
Sanju Samson,2013-2024,18,18,2,577,119,36.06,393,146.81,1,3,0,60,24,Wankhede Stadium
PA Patel,2008-2019,24,23,1,518,52,23.54,406,127.58,0,2,3,70,9,Wankhede Stadium
Ajinkya Rahane,2011-2025,17,14,1,435,66*,33.46,320,135.93,0,3,0,52,13,Wankhede Stadium
Nithish  Rana,2017-2023,16,16,1,417,57,27.8,336,124.1,0,3,1,33,19,Wankhede Stadium
MS Dhoni,2008-2025,29,24,8,416,50*,26,347,119.88,0,1,2,33,20,Wankhede Stadium
Krunal Pandya,2016-2025,29,25,8,408,42,24,292,139.72,0,0,0,42,13,Wankhede Stadium
LMP Simmons,2014-2017,13,13,1,398,68*,33.16,331,120.24,0,4,1,36,18,Wankhede Stadium
David Miller,2012-2025,16,16,3,395,62,30.38,301,131.22,0,2,1,31,16,Wankhede Stadium
Tilak Varma,2022-2025,19,17,5,394,56,32.83,306,128.75,0,1,0,38,12,Wankhede Stadium
Quinton de Kock,2018-2025,13,13,1,374,81,31.16,283,132.15,0,2,0,33,16,Wankhede Stadium
Rishabh Pant,2017-2025,13,13,2,374,78*,34,229,163.31,0,2,1,43,16,Wankhede Stadium
Glen Maxwell,2013-2024,13,12,1,365,68,33.18,209,174.64,0,2,1,36,22,Wankhede Stadium
Harbhajan Singh,2008-2018,49,33,16,362,64,21.29,239,151.46,0,1,3,38,17,Wankhede Stadium
RV Uthappa,2008-2022,15,15,1,359,54,25.64,316,113.6,0,1,0,33,13,Wankhede Stadium
WP Saha,2008-2023,12,10,3,352,93*,50.28,251,140.23,0,4,1,43,10,Wankhede Stadium
DR Smith,2008-2017,14,14,1,345,62,26.53,289,119.37,0,3,3,37,15,Wankhede Stadium
SR Watson,2008-2019,11,11,2,342,117*,38,230,148.69,1,2,1,29,22,Wankhede Stadium
Ravindra Jadeja,2008-2025,23,17,7,331,62*,33.1,228,145.17,0,2,0,22,16,Wankhede Stadium
Devdutt Padikkal,2021-2025,10,10,1,327,101*,36.33,224,145.98,1,1,1,33,15,Wankhede Stadium
Tim David,2022-2025,17,14,6,326,46,40.75,173,188.43,0,0,1,14,28,Wankhede Stadium
Ruturaj Gaikwad,2021-2024,11,11,1,316,69,31.6,266,118.79,0,3,1,28,12,Wankhede Stadium
AB de Villiers,2011-2021,11,9,1,307,133*,38.37,189,162.43,1,1,0,33,13,Wankhede Stadium
CH Gayle,2011-2021,10,10,1,301,82*,33.44,218,138.07,0,2,0,22,23,Wankhede Stadium
YK Pathan,2008-2018,10,10,3,280,52,40,217,129.03,0,1,0,27,10,Wankhede Stadium
Shivam Dube,2021-2025,12,12,1,275,66*,25,212,129.71,0,2,1,28,10,Wankhede Stadium
David Warner,2011-2024,10,10,0,274,66,27.4,176,155.68,0,2,0,33,13,Wankhede Stadium
SE Marsh,2008-2017,6,6,1,268,81,53.6,188,142.55,0,3,0,24,10,Wankhede Stadium
Manish Pandey,2012-2025,10,10,2,266,81*,33.25,199,133.66,0,2,1,21,11,Wankhede Stadium
Deepak Hooda,2015-2024,11,11,1,262,64,26.2,188,139.36,0,3,0,23,11,Wankhede Stadium
PP Shaw,2019-2024,10,10,0,261,72,26.1,177,147.45,0,2,1,30,11,Wankhede Stadium
Rahul Tripathi,2017-2022,9,9,0,260,76,28.88,179,145.25,0,2,1,23,11,Wankhede Stadium
E Lewis,2018-2022,9,9,0,241,65,26.77,173,139.3,0,2,1,22,16,Wankhede Stadium
MA Agarwal,2011-2024,12,11,0,240,83,21.81,176,136.36,0,2,2,27,8,Wankhede Stadium
Cameron Green,2023-2023,7,7,4,229,100*,76.33,133,172.18,1,1,0,19,13,Wankhede Stadium
Yashasvi Jaiswal,2021-2024,5,5,0,228,124,45.6,132,172.72,1,1,0,32,10,Wankhede Stadium
BB McCullum,2011-2017,7,7,0,222,81,31.71,160,138.75,0,2,0,23,9,Wankhede Stadium
ST Jayasuriya,2008-2008,4,4,2,211,114*,105.5,93,226.88,1,0,0,21,17,Wankhede Stadium
Moen Ali,2019-2022,7,7,0,204,50,29.14,138,147.82,0,1,1,15,14,Wankhede Stadium
Venkatesh Iyer,2022-2025,6,6,0,202,104,33.66,147,137.41,1,1,0,14,12,Wankhede Stadium
DJ Bravo,2008-2022,19,10,2,199,68,24.87,139,143.16,0,1,0,14,13,Wankhede Stadium
Andre Russell,2015-2025,13,11,2,199,70*,22.11,118,168.64,0,2,2,13,17,Wankhede Stadium
Syres Iyer,2015-2024,9,9,2,196,42,28,162,120.98,0,0,0,23,3,Wankhede Stadium
V Sehwag,2008-2015,6,6,0,196,122,32.66,123,159.34,1,0,0,20,10,Wankhede Stadium
Ryan Rickelton,2025-2025,5,5,1,192,62*,48,125,153.6,0,2,0,22,10,Wankhede Stadium
Rahul Tewatia,2017-2023,13,10,3,191,40*,27.28,132,144.69,0,0,0,16,9,Wankhede Stadium
Nicholas Pooran,2021-2025,9,9,0,176,75,19.55,106,166.03,0,1,2,11,15,Wankhede Stadium
JEC Franklin,2011-2012,10,9,2,174,79,24.85,169,102.95,0,1,0,12,4,Wankhede Stadium
G Gambhir,2008-2018,8,8,0,173,59,21.62,151,114.56,0,1,1,21,2,Wankhede Stadium
Abhishek Sharma,2019-2025,7,7,0,170,65,24.28,134,126.86,0,1,1,19,6,Wankhede Stadium
MK Tiwary,2008-2018,7,7,1,170,58,28.33,146,116.43,0,1,1,16,5,Wankhede Stadium
Simeron Hetmyer,2021-2024,8,7,6,168,59*,168,106,158.49,0,1,0,9,13,Wankhede Stadium
CJ Anderson,2014-2018,8,8,2,163,95*,27.16,101,161.38,0,1,2,14,11,Wankhede Stadium
Rajat Patidar,2022-2025,4,3,0,162,64,54,96,168.75,0,2,0,12,10,Wankhede Stadium
Yuvraj Singh,2008-2019,10,10,0,161,57,16.1,137,117.51,0,2,1,15,7,Wankhede Stadium
S Badrinath,2008-2013,6,5,2,159,71*,53,117,135.89,0,2,1,19,4,Wankhede Stadium
MEK Hussey,2011-2015,6,6,0,157,56,26.16,118,133.05,0,1,1,16,6,Wankhede Stadium
Romen Powell,2022-2022,5,5,1,147,43,36.75,87,168.96,0,0,1,5,14,Wankhede Stadium
KM Jadhav,2011-2023,8,7,3,146,58,36.5,130,112.3,0,1,0,13,4,Wankhede Stadium
Axar Patel,2014-2024,12,9,5,137,42*,34.25,92,148.91,0,0,0,6,8,Wankhede Stadium
Rashid Khan,2017-2023,10,6,4,137,79*,68.5,62,220.96,0,1,0,4,16,Wankhede Stadium
Mitchell Marsh,2013-2025,7,6,0,136,38,22.66,102,133.33,0,0,1,10,7,Wankhede Stadium
Riyan Parag,2021-2024,11,8,2,136,54*,22.66,95,143.15,0,1,0,11,9,Wankhede Stadium
Ayush Badoni,2022-2025,6,5,1,130,54,32.5,91,142.85,0,1,0,7,8,Wankhede Stadium
AJ Finch,2013-2022,6,6,1,128,67*,25.6,118,108.47,0,1,1,11,2,Wankhede Stadium
Travis Head,2016-2025,4,4,0,125,48,31.25,98,127.55,0,0,0,13,3,Wankhede Stadium
Marcus Stoinis,2018-2024,9,9,3,125,38*,20.83,89,140.44,0,0,3,14,6,Wankhede Stadium
Pat Cummins,2017-2025,5,5,4,123,66*,123,66,186.36,0,1,0,6,10,Wankhede Stadium
Aiden Markram,2022-2025,6,6,1,122,56,24.4,106,115.09,0,1,0,7,5,Wankhede Stadium
Jitesh Sharma,2022-2025,5,4,2,122,40*,61,51,239.21,0,0,0,9,11,Wankhede Stadium
Liam Livingstone,2019-2025,7,7,1,120,49*,20,75,160,0,0,1,5,11,Wankhede Stadium
JP Duminy,2011-2018,6,6,4,119,45*,59.5,93,127.95,0,0,0,7,7,Wankhede Stadium
Kane Williamson,2018-2022,7,7,1,116,47,19.33,94,123.4,0,0,1,16,2,Wankhede Stadium
Sam Curran,2019-2023,7,5,1,115,55,28.75,57,201.75,0,1,0,12,7,Wankhede Stadium
Rinku Singh,2019-2025,6,6,1,113,42*,22.6,85,132.94,0,0,0,14,2,Wankhede Stadium
Will Jacks,2024-2025,6,5,0,111,36,22.2,88,126.13,0,0,0,10,5,Wankhede Stadium
AP Tare,2013-2017,8,8,3,111,59,22.2,68,163.23,0,1,1,14,3,Wankhede Stadium
Naman Dhir,2024-2025,9,7,2,109,62*,21.8,69,157.97,0,1,3,9,8,Wankhede Stadium
LA Pomersbach,2008-2011,2,2,1,108,79*,108,68,158.82,0,1,0,12,5,Wankhede Stadium
