,,,,,,,,,venue Chennai,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
S Anirudha,2008-2013,10,6,2,75,64,18.75,73,102.73,0,1,1,6,2
(Chennai Super Kings),,,,,,,,,,,,,,
SN Khan,2015-2019,2,2,0,75,67,37.5,67,111.94,0,1,0,5,2
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AD Mathews,2010-2012,2,2,0,75,48,37.5,70,107.14,0,0,0,4,2
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,
D Brevis,2025-2025,2,2,0,74,42,37,51,145.09,0,0,0,3,5
(Chennai Super Kings),,,,,,,,,,,,,,
DPMD Jayawardene,2008-2012,4,4,0,74,55,18.5,59,125.42,0,1,0,5,3
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
Mandeep Singh,2012-2019,4,4,1,72,56,24,66,109.09,0,1,1,7,1
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
CA Lynn,2018-2021,3,3,0,71,49,23.66,56,126.78,0,0,1,8,3
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
KR Mayers,2023-2023,2,2,0,71,53,35.5,35,202.85,0,1,0,11,2
(Lucknow Super Giants),,,,,,,,,,,,,,
Abhishek Sharma,2021-2025,8,7,0,70,34,10,57,122.8,0,0,1,5,3
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Sameer Rizvi,2024-2025,6,4,1,70,21,23.33,52,134.61,0,0,0,5,3
"(Chennai Super Kings, Delhi Capitals)",,,,,,,,,,,,,,
AJ Finch,2013-2013,1,1,0,67,67,67,45,148.88,0,1,0,10,2
(Pune Warriors),,,,,,,,,,,,,,
Y Venugopal Rao,2008-2012,4,3,0,67,30,22.33,51,131.37,0,0,0,2,5
"(Deccan Chargers, Delhi Daredevils)",,,,,,,,,,,,,,
TM Head,2024-2025,4,4,0,66,34,16.5,52,126.92,0,0,1,8,2
(Sunrisers Hyderabad),,,,,,,,,,,,,,
N Pooran,2021-2024,5,4,0,66,34,16.5,34,194.11,0,0,2,5,5
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,
C Green,2023-2024,3,3,0,65,41,21.66,49,132.65,0,0,0,8,1
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
AK Markram,2023-2024,4,4,0,65,32,16.25,63,103.17,0,0,0,8,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
VR Iyer,2023-2025,4,3,1,64,52*,32,38,168.42,0,1,0,6,3
(Kolkata Knight Riders),,,,,,,,,,,,,,
PP Shaw,2019-2021,3,3,0,64,53,21.33,49,130.61,0,1,0,9,1
(Delhi Capitals),,,,,,,,,,,,,,
BJ Hodge,2011-2013,3,3,3,63,51*,-,53,118.86,0,1,0,4,2
"(Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,
S Vidyut,2008-2008,3,3,0,62,54,20.66,44,140.9,0,1,1,9,1
(Chennai Super Kings),,,,,,,,,,,,,,
AR Patel,2015-2025,5,4,0,60,21,15,45,133.33,0,0,0,5,3
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,
RM Patidar,2021-2025,4,4,0,60,51,15,45,133.33,0,1,1,5,3
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
P Negi,2012-2015,4,4,1,59,36,19.66,33,178.78,0,0,0,5,3
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,
SV Samson,2015-2024,5,5,0,59,26,11.8,59,100,0,0,1,3,2
(Rajasthan Royals),,,,,,,,,,,,,,
NT Tilak Varma,2023-2025,2,2,0,57,31,28.5,47,121.27,0,0,0,2,4
(Mumbai Indians),,,,,,,,,,,,,,
SW Billings,2018-2018,1,1,0,56,56,56,23,243.47,0,1,0,2,5
(Chennai Super Kings),,,,,,,,,,,,,,
S Sohal,2011-2011,1,1,0,56,56,56,30,186.66,0,1,0,6,4
(Deccan Chargers),,,,,,,,,,,,,,
HH Gibbs,2008-2010,2,2,0,55,45,27.5,46,119.56,0,0,0,6,2
(Deccan Chargers),,,,,,,,,,,,,,
YK Pathan,2008-2019,8,8,2,55,13,9.16,57,96.49,0,0,0,2,1
"(Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
OA Shah,2011-2012,2,2,0,55,52,27.5,46,119.56,0,1,0,4,3
"(Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,
BA Stokes,2019-2023,2,2,0,54,46,27,34,158.82,0,0,0,2,3
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
Kamran Akmal,2008-2008,1,1,1,53,53*,-,28,189.28,0,1,0,4,3
(Rajasthan Royals),,,,,,,,,,,,,,
R Parag,2024-2024,2,2,1,53,47*,53,45,117.77,0,0,0,1,3
(Rajasthan Royals),,,,,,,,,,,,,,
K Nitish Kumar Reddy,2024-2025,4,4,1,52,19*,17.33,48,108.33,0,0,0,3,1
(Sunrisers Hyderabad),,,,,,,,,,,,,,
LRPL Taylor,2011-2013,3,3,0,52,24,17.33,41,126.82,0,0,0,3,2
"(Delhi Daredevils, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
RE Levi,2012-2012,1,1,0,50,50,50,35,142.85,0,1,0,6,3
(Mumbai Indians),,,,,,,,,,,,,,
LS Livingstone,2023-2025,2,2,0,50,40,25,33,151.51,0,0,0,1,5
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
A Symonds,2010-2010,1,1,0,50,50,50,43,116.27,0,1,0,3,3
(Deccan Chargers),,,,,,,,,,,,,,
Abdul Samad,2021-2024,6,6,1,49,19*,9.8,41,119.51,0,0,2,2,3
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SO Hetmyer,2019-2024,5,5,2,49,30*,16.33,41,119.51,0,0,1,4,2
"(Delhi Capitals, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
RR Pant,2019-2021,3,3,0,49,37,16.33,38,128.94,0,0,0,6,1
(Delhi Capitals),,,,,,,,,,,,,,
PD Salt,2023-2025,3,3,0,49,32,16.33,28,175,0,0,1,6,3
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
Shakib Al Hasan,2012-2021,5,4,1,49,26,16.33,46,106.52,0,0,0,3,1
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Anuj Rawat,2024-2024,1,1,0,48,48,48,25,192,0,0,0,4,3
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
Rashid Khan,2019-2024,8,5,0,48,30,9.6,29,165.51,0,0,2,4,3
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Shahbaz Ahmed,2021-2024,6,5,0,48,18,9.6,42,114.28,0,0,0,1,3
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Shashank Singh,2024-2025,2,2,1,48,25*,48,38,126.31,0,0,0,2,3
(Punjab Kings),,,,,,,,,,,,,,
KH Pandya,2019-2025,11,10,1,47,15,5.22,54,87.03,0,0,2,5,1
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
SC Ganguly,2008-2012,3,3,0,46,24,15.33,57,80.7,0,0,0,7,0
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,
M Manhas,2010-2011,2,2,1,45,25*,45,55,81.81,0,0,0,2,1
"(Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,
Y Nagar,2011-2012,2,2,2,45,44*,-,49,91.83,0,0,0,1,1
(Delhi Daredevils),,,,,,,,,,,,,,
AM Nayar,2008-2013,2,2,2,45,45*,-,21,214.28,0,0,0,6,1
"(Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,
T Stubbs,2023-2025,2,2,1,44,24*,44,33,133.33,0,0,0,4,1
"(Delhi Capitals, Mumbai Indians)",,,,,,,,,,,,,,
STR Binny,2011-2013,3,2,2,43,36*,-,29,148.27,0,0,0,3,1
(Rajasthan Royals),,,,,,,,,,,,,,
SA Asnodkar,2008-2008,1,1,0,41,41,41,27,151.85,0,0,0,5,2
(Rajasthan Royals),,,,,,,,,,,,,,
JEC Franklin,2011-2012,2,2,1,41,25*,41,47,87.23,0,0,0,2,1
(Mumbai Indians),,,,,,,,,,,,,,
SB Styris,2008-2011,2,2,2,41,36*,-,43,95.34,0,0,0,4,1
"(Chennai Super Kings, Deccan Chargers)",,,,,,,,,,,,,,
PJ Cummins,2015-2025,8,6,1,40,24,8,36,111.11,0,0,2,4,2
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Rahmanullah Gurbaz,2023-2024,2,2,0,40,39,20,36,111.11,0,0,0,5,2
(Kolkata Knight Riders),,,,,,,,,,,,,,
A Ashish Reddy,2012-2013,2,2,1,39,36*,39,19,205.26,0,0,0,2,3
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,
AL Menaria,2011-2012,2,2,0,38,36,19,42,90.47,0,0,0,2,1
(Rajasthan Royals),,,,,,,,,,,,,,
LMP Simmons,2015-2015,1,1,0,38,38,38,31,122.58,0,0,0,3,2
(Mumbai Indians),,,,,,,,,,,,,,
RN ten Doeschate,2015-2015,1,1,1,38,38*,-,28,135.71,0,0,0,3,2
(Kolkata Knight Riders),,,,,,,,,,,,,,
TH David,2023-2025,3,3,1,37,22*,18.5,25,148,0,0,0,2,3
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
MJ Lumb,2010-2010,1,1,0,37,37,37,26,142.3,0,0,0,6,1
(Rajasthan Royals),,,,,,,,,,,,,,
A Mhatre,2025-2025,2,2,0,37,30,18.5,25,148,0,0,0,7,0
(Chennai Super Kings),,,,,,,,,,,,,,
B Sai Sudharsan,2024-2024,1,1,0,37,37,37,31,119.35,0,0,0,3,0
(Gujarat Titans),,,,,,,,,,,,,,
PP Chawla,2008-2023,9,6,2,35,17,8.75,38,92.1,0,0,2,3,2
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
MJ Santner,2019-2025,4,3,1,34,22,17,34,100,0,0,0,1,2
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
Lalit Yadav,2021-2023,2,2,1,34,22*,34,30,113.33,0,0,0,4,0
(Delhi Capitals),,,,,,,,,,,,,,
Abishek Porel,2025-2025,1,1,0,33,33,33,20,165,0,0,0,4,1
(Delhi Capitals),,,,,,,,,,,,,,
JM Sharma,2023-2025,3,2,0,33,21,16.5,16,206.25,0,0,0,3,2
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
DT Christian,2011-2021,5,5,1,32,27*,8,32,100,0,0,0,2,1
"(Deccan Chargers, Royal Challengers Bangalore)",,,,,,,,,,,,,,
E Lewis,2019-2019,1,1,0,32,32,32,30,106.66,0,0,0,3,1
(Mumbai Indians),,,,,,,,,,,,,,
PHKD Mendis,2025-2025,1,1,1,32,32*,-,22,145.45,0,0,0,3,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
J Botha,2011-2013,2,2,0,31,23,15.5,26,119.23,0,0,0,4,1
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,
KC Sangakkara,2010-2012,3,3,0,31,15,10.33,33,93.93,0,0,0,3,1
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,
DL Chahar,2018-2025,20,3,2,29,28*,29,19,152.63,0,0,1,2,2
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
DJ Hussey,2008-2013,4,4,0,29,22,7.25,25,116,0,0,2,3,1
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
A Mishra,2010-2021,8,4,0,29,15,7.25,41,70.73,0,0,0,3,0
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
CH Morris,2013-2019,8,6,5,29,16*,29,22,131.81,0,0,1,0,1
"(Chennai Super Kings, Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,
K Gowtham,2019-2023,3,3,1,28,17*,14,22,127.27,0,0,0,0,2
"(Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,
JC Archer,2019-2023,2,2,2,27,24*,-,13,207.69,0,0,0,1,2
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
KA Jamieson,2021-2021,3,3,1,27,12,13.5,17,158.82,0,0,0,3,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
P Kumar,2008-2013,4,2,1,27,21,27,17,158.82,0,0,0,2,1
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Washington Sundar,2021-2023,4,3,0,27,10,9,33,81.81,0,0,0,2,0
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MN Samuels,2012-2012,1,1,0,26,26,26,24,108.33,0,0,0,2,1
(Pune Warriors),,,,,,,,,,,,,,
A Badoni,2023-2024,3,2,0,24,23,12,25,96,0,0,0,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
